trip_id,arrival_time,departure_time,stop_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday
724949148,17:56:34,17:56:34,26080,0,1,1,1,0,0,0
686380998,17:57:16,17:57:16,26080,0,0,0,0,0,0,1
686404578,17:58:16,17:58:16,26080,0,0,0,0,0,1,0
686380848,18:11:16,18:11:16,26080,0,0,0,0,0,0,1
724950458,18:11:34,18:11:34,26080,0,1,1,1,0,0,0
686403528,18:12:16,18:12:16,26080,0,0,0,0,0,1,0
724949328,18:25:55,18:25:55,26080,0,1,1,1,0,0,0
686404588,18:26:16,18:26:16,26080,0,0,0,0,0,1,0
686382898,18:26:16,18:26:16,26080,0,0,0,0,0,0,1
724949658,18:39:55,18:39:55,26080,0,1,1,1,0,0,0
686380938,18:40:16,18:40:16,26080,0,0,0,0,0,0,1
686403538,18:41:16,18:41:16,26080,0,0,0,0,0,1,0
724948478,18:50:55,18:50:55,26080,0,1,1,1,0,0,0
686380928,18:58:37,18:58:37,26080,0,0,0,0,0,0,1
686403548,19:01:16,19:01:16,26080,0,0,0,0,0,1,0
724950298,19:04:55,19:04:55,26080,0,1,1,1,0,0,0
686382878,19:17:37,19:17:37,26080,0,0,0,0,0,0,1
724948538,19:17:55,19:17:55,26080,0,1,1,1,0,0,0
686404598,19:20:37,19:20:37,26080,0,0,0,0,0,1,0
724948528,19:32:16,19:32:16,26080,0,1,1,1,0,0,0
686403558,19:36:37,19:36:37,26080,0,0,0,0,0,1,0
686380808,19:36:37,19:36:37,26080,0,0,0,0,0,0,1
724948648,19:45:16,19:45:16,26080,0,1,1,1,0,0,0
686403568,19:55:37,19:55:37,26080,0,0,0,0,0,1,0
686380768,19:55:37,19:55:37,26080,0,0,0,0,0,0,1
724949588,20:00:16,20:00:16,26080,0,1,1,1,0,0,0
724948418,20:14:16,20:14:16,26080,0,1,1,1,0,0,0
686404608,20:15:37,20:15:37,26080,0,0,0,0,0,1,0
686380738,20:15:37,20:15:37,26080,0,0,0,0,0,0,1
724950158,20:26:16,20:26:16,26080,0,1,1,1,0,0,0
686382848,20:34:37,20:34:37,26080,0,0,0,0,0,0,1
686403578,20:34:37,20:34:37,26080,0,0,0,0,0,1,0
724948838,20:41:16,20:41:16,26080,0,1,1,1,0,0,0
686405378,20:53:37,20:53:37,26080,0,0,0,0,0,1,0
686380638,20:54:37,20:54:37,26080,0,0,0,0,0,0,1
724949448,20:56:16,20:56:16,26080,0,1,1,1,0,0,0
724949618,21:09:37,21:09:37,26080,0,1,1,1,0,0,0
686404618,21:13:37,21:13:37,26080,0,0,0,0,0,1,0
686380668,21:14:37,21:14:37,26080,0,0,0,0,0,0,1
724950188,21:24:37,21:24:37,26080,0,1,1,1,0,0,0
724948428,21:38:37,21:38:37,26080,0,1,1,1,0,0,0
686380718,21:42:37,21:42:37,26080,0,0,0,0,0,0,1
686404628,21:43:37,21:43:37,26080,0,0,0,0,0,1,0
724948628,21:53:37,21:53:37,26080,0,1,1,1,0,0,0
724948508,22:08:37,22:08:37,26080,0,1,1,1,0,0,0
686404638,22:11:37,22:11:37,26080,0,0,0,0,0,1,0
686380618,22:12:37,22:12:37,26080,0,0,0,0,0,0,1
724949178,22:23:37,22:23:37,26080,0,1,1,1,0,0,0
724950628,22:37:37,22:37:37,26080,0,1,1,1,0,0,0
686403588,22:41:37,22:41:37,26080,0,0,0,0,0,1,0
686380588,22:42:37,22:42:37,26080,0,0,0,0,0,0,1
724950028,22:51:37,22:51:37,26080,0,1,1,1,0,0,0
724955508,23:03:37,23:03:37,26080,0,1,1,1,0,0,0
686380548,23:10:37,23:10:37,26080,0,0,0,0,0,0,1
686403598,23:11:37,23:11:37,26080,0,0,0,0,0,1,0
724950718,23:18:37,23:18:37,26080,0,1,1,1,0,0,0
686345438,23:33:37,23:33:37,26080,0,1,1,1,0,0,0
686380508,23:37:58,23:37:58,26080,0,0,0,0,0,0,1
686404658,23:38:37,23:38:37,26080,0,0,0,0,0,1,0
724950728,24:03:37,24:03:37,26080,0,1,1,1,0,0,0
686380458,24:06:58,24:06:58,26080,0,0,0,0,0,0,1
686403608,24:07:37,24:07:37,26080,0,0,0,0,0,1,0
724950618,24:33:37,24:33:37,26080,0,1,1,1,0,0,0
686380438,24:36:58,24:36:58,26080,0,0,0,0,0,0,1
686404648,24:37:37,24:37:37,26080,0,0,0,0,0,1,0
724955498,25:36:37,25:36:37,26080,0,1,1,1,0,0,0
692349618,25:37:37,25:37:37,26080,0,0,0,0,0,1,0
686390498,25:37:58,25:37:58,26080,0,0,0,0,0,0,1
686412818,26:32:37,26:32:37,26080,0,0,0,0,0,1,0
724955488,26:35:37,26:35:37,26080,0,1,1,1,0,0,0
686390508,26:37:58,26:37:58,26080,0,0,0,0,0,0,1
686412828,27:35:37,27:35:37,26080,0,0,0,0,0,1,0
